;;;;;;
;Punto d'inizio;;;Punto di fine;;
road_lcd;pnt_lcd_ini;lat_ini;lon_ini;pnt_lcd_fin;lat_fin;lon_fin
26441;26442;45,48769;9,25851;26443;45,49764;9,30003
26441;26443;45,49764;9,30003;26444;45,49777;9,33026
26457;26463;45,56939;9,01879;26464;45,5741;9,06764
26465;26471;45,44312;9,02889;26472;45,45268;9,04976
26493;26494;45,56129;9,02835;26495;45,56296;9,07892
26493;26495;45,56296;9,07892;26496;45,5662;9,0856
26493;26496;45,5662;9,0856;26497;45,57539;9,11774
26493;26497;45,57539;9,11774;26498;45,58029;9,14558
26493;26498;45,58029;9,14558;26499;45,5851;9,17304
26493;26499;45,5851;9,17304;26500;45,5889;9,19682
26508;26509;45,52569;9,28175;26510;45,52627;9,31109
26508;26510;45,52627;9,31109;26511;45,52486;9,35016
26535;26536;45,58401;9,28164;26537;45,58101;9,30981
26535;26537;45,58101;9,30981;26538;45,57963;9,32427
26546;26547;45,55355;9,08881;26548;45,56614;9,0856
26546;26548;45,56614;9,0856;26549;45,58156;9,07677
26546;26549;45,58156;9,07677;26550;45,61807;9,08084
26574;26575;45,41717;9,07025;26576;45,36497;9,13428
26577;26578;45,47252;9,27257;26579;45,47375;9,28571
26577;26579;45,47375;9,28571;26580;45,47669;9,29527
26577;26580;45,47669;9,29527;26581;45,47758;9,30415
26577;26581;45,47758;9,30415;26582;45,48006;9,33371
26605;26606;45,42663;9,30913;26607;45,39683;9,32581
26610;26611;45,46177;9,27205;26612;45,47373;9,28567
26610;26612;45,47373;9,28567;26613;45,47659;9,29523
26610;26613;45,47659;9,29523;26614;45,43876;9,28831
26610;26614;45,43876;9,28831;26615;45,4335;9,32442
26618;26619;45,51344;9,30026;26620;45,49764;9,30005
26618;26620;45,49764;9,30005;26621;45,47757;9,30415
26618;26621;45,47757;9,30415;26622;45,46125;9,30325
26618;26622;45,46125;9,30325;26623;45,43355;9,32436
26641;26642;45,36546;9,20874;26643;45,36028;9,22952
26641;26643;45,36028;9,22952;26644;45,38384;9,27479
26641;26644;45,38384;9,27479;26645;45,39156;9,28715
26753;26754;45,53927;9,28688;26755;45,54666;9,29247
26753;26755;45,54666;9,29247;26756;45,57974;9,32424
26817;26818;45,53406;9,16114;26819;45,55859;9,15257
26817;26819;45,55859;9,15257;26820;45,58028;9,14556
26817;26820;45,58028;9,14556;26821;45,60621;9,14074
26832;26833;45,55481;9,25062;26834;45,56106;9,25665
26832;26834;45,56106;9,25665;26835;45,58034;9,27331
26832;26835;45,58034;9,27331;26836;45,58748;9,28417
26856;26857;45,49766;9,18677;26858;45,53251;9,19317
26856;26858;45,53251;9,19317;26859;45,56786;9,18988
26856;26859;45,56786;9,18988;26860;45,58347;9,19494
26856;26860;45,58347;9,19494;26861;45,58882;9,1968
26871;26872;45,52949;9,21405;26873;45,53318;9,21576
26871;26873;45,53318;9,21576;42150;45,54359;9,22156
26871;42150;45,54359;9,22156;42151;45,54709;9,2299
26871;42151;45,54709;9,2299;26874;45,55521;9,23971
26871;26874;45,55521;9,23971;26875;45,56102;9,24201
26871;26875;45,56102;9,24201;42152;45,57098;9,24703
26871;42152;45,57098;9,24703;26876;45,58212;9,25039
26871;26876;45,58212;9,25039;26877;45,59061;9,25374
26879;26880;45,52961;9,11014;26881;45,55852;9,1526
26879;26881;45,55852;9,1526;26882;45,55698;9,16564
35474;35475;45,13346;7,63268;35476;45,13841;7,62777
35474;35476;45,13841;7,62777;35477;45,15471;7,61528
